timestamp,battery_current,battery_voltage,can_msg.data,can_msg.dlc,can_msg.id,flags,header.frame_id,header.stamp.nanosec,header.stamp.sec
1763324981059430639,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,58714504,1763324981
1763324981161857043,1.0,13.399999618530273,[134   5   0   0   0   0   0   0],5,257,0,Voltage/Current,161001035,1763324981
1763324981264518234,1.0,13.399999618530273,[134   5   0   0   0   0   0   0],5,257,0,Voltage/Current,264326040,1763324981
1763324981368086122,1.0,13.399999618530273,[134   5   0   0   0   0   0   0],5,257,0,Voltage/Current,367340450,1763324981
1763324981499099524,1.0,13.399999618530273,[134   5   0   0   0   0   0   0],5,257,0,Voltage/Current,498358429,1763324981
1763324981560968798,1.0,13.399999618530273,[134   5   0   0   0   0   0   0],5,257,0,Voltage/Current,560183958,1763324981
1763324981663048191,1.0,13.399999618530273,[134   5   0   0   0   0   0   0],5,257,0,Voltage/Current,662562394,1763324981
1763324981768598466,1.0,13.399999618530273,[134   5   0   0   0   0   0   0],5,257,0,Voltage/Current,768316447,1763324981
1763324981868789297,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,867886536,1763324981
1763324981971674938,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,970744721,1763324981
1763324982063853947,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,63061363,1763324982
1763324982165835804,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,165389463,1763324982
1763324982270341461,1.0,13.399999618530273,[134   5   0   0   0   0   0   0],5,257,0,Voltage/Current,269152586,1763324982
1763324982372138708,1.0,13.399999618530273,[134   5   0   0   0   0   0   0],5,257,0,Voltage/Current,371692912,1763324982
1763324982499894064,1.0,13.399999618530273,[134   5   0   0   0   0   0   0],5,257,0,Voltage/Current,499190153,1763324982
1763324982572005710,0.800000011920929,13.399999618530273,[134   4   0   0   0   0   0   0],5,257,0,Voltage/Current,571371080,1763324982
1763324982665895840,0.800000011920929,13.399999618530273,[134   4   0   0   0   0   0   0],5,257,0,Voltage/Current,664942935,1763324982
1763324982768412486,0.800000011920929,13.399999618530273,[134   4   0   0   0   0   0   0],5,257,0,Voltage/Current,767827457,1763324982
1763324982871749012,0.800000011920929,13.399999618530273,[134   4   0   0   0   0   0   0],5,257,0,Voltage/Current,871087470,1763324982
1763324982965909385,0.6000000238418579,13.399999618530273,[134   3   0   0   0   0   0   0],5,257,0,Voltage/Current,964986848,1763324982
1763324983069089814,0.6000000238418579,13.399999618530273,[134   3   0   0   0   0   0   0],5,257,0,Voltage/Current,67604040,1763324983
